experiment_type,epoch,total_loss,data_loss,phys_loss,ic_loss,energy_drift,angular_momentum_drift,hamiltonian_violation,bound_max_dev,escape_max_dev,capture_max_dev
Stage4-LongTrain,0,9.324365677060308,1.1266233228348397,0.010900359040193559,0.1328517488782873,0,0,0,0,0,0
Stage4-LongTrain,10,0.20568511614928375,0.12129591667168849,3.8264781766416933e-05,0.0013513702032395413,0,0,0,0,0,0
Stage4-LongTrain,20,0.10976700243112203,0.06722610876769633,3.2470661805033355e-05,0.0006176143097282211,0,0,0,0,0,0
Stage4-LongTrain,30,0.0633568347909966,0.03793228951257628,3.4707857127147224e-05,0.0003746839745970745,0,0,0,0,0,0
Stage4-LongTrain,40,0.05473928264266736,0.031959746989446716,3.724539311480004e-05,0.0003546369973903623,0,0,0,0,0,0
Stage4-LongTrain,50,134625850041.49802,0.09063189159575347,6730941431.282497,0.0009393439647062002,0,0,0,0,0,0
Stage4-LongTrain,60,0.030965895467513316,0.012766517421885117,3.685483057484522e-05,0.00029394348530331627,0,0,0,0,0,0
Stage4-LongTrain,70,0.025840052403509617,0.009114748521431073,3.327550100063515e-05,0.00026199960533680543,0,0,0,0,0,0
Stage4-LongTrain,80,0.02694958760528951,0.007819616563014081,3.232689340546966e-05,0.000291705785973652,0,0,0,0,0,0
Stage4-LongTrain,90,0.01491971843800432,0.005986219095821316,2.4933810178678157e-05,0.00010807950776644568,0,0,0,0,0,0
Stage4-LongTrain,100,0.01485042807620925,0.00532087978176974,1.8999893015731958e-05,0.00010902498950206398,0,0,0,0,0,0
Stage4-LongTrain,110,0.013097707333194243,0.00447266292129014,1.850626894510414e-05,0.00012594469297107789,0,0,0,0,0,0
Stage4-LongTrain,120,0.011517091792680928,0.004044802173519054,1.7678594377758674e-05,0.00010790941554217637,0,0,0,0,0,0
Stage4-LongTrain,130,0.010333419689354865,0.0031711183853346753,1.6933043027804798e-05,9.429704703113719e-05,0,0,0,0,0,0
Stage4-LongTrain,140,0.011420099467441842,0.003033681822991049,1.497769374730745e-05,0.00013139952716301195,0,0,0,0,0,0
Stage4-LongTrain,150,0.009345612702639523,0.003329103390963094,1.6034419602235447e-05,8.523948914395028e-05,0,0,0,0,0,0
Stage4-LongTrain,160,0.01581490333066196,0.0029681120980279267,2.0665677766373847e-05,0.0002019022803988018,0,0,0,0,0,0
Stage4-LongTrain,170,0.007174036572561474,0.0021978612781527475,1.276166643504906e-05,5.956753471223606e-05,0,0,0,0,0,0
Stage4-LongTrain,180,0.007564380041298432,0.002562990629214894,1.3454976532237787e-05,6.11004775605948e-05,0,0,0,0,0,0
Stage4-LongTrain,190,0.004551148218278949,0.0016390360747086438,1.1431724008592002e-05,3.8228948756728346e-05,0,0,0,0,0,0
Stage4-LongTrain,200,0.007293330530661183,0.0016635833496882304,1.5109787958912469e-05,8.363663314289502e-05,0,0,0,0,0,0
Stage4-LongTrain,210,0.004716611800816011,0.0012763426135722045,1.0323934266371243e-05,4.279795701075125e-05,0,0,0,0,0,0
Stage4-LongTrain,220,0.003729102057027253,0.001374531107816241,1.1376002500607708e-05,2.914476821437396e-05,0,0,0,0,0,0
Stage4-LongTrain,230,0.0046486914774554,0.0012803327267033023,9.83990294362475e-06,3.6817412291310504e-05,0,0,0,0,0,0
Stage4-LongTrain,240,0.0036255623767706188,0.0010515075063685308,9.990708189729344e-06,3.5332132618940386e-05,0,0,0,0,0,0
Stage4-LongTrain,250,0.005748342684898022,0.0012614591317754741,1.1145088850556735e-05,6.612660016233693e-05,0,0,0,0,0,0
Stage4-LongTrain,260,0.005357811560954999,0.0019774495001026503,9.559570854263084e-06,3.912363103449319e-05,0,0,0,0,0,0
Stage4-LongTrain,270,0.006264519009336426,0.0012420928483275143,1.1539206887981572e-05,7.200782046483427e-05,0,0,0,0,0,0
Stage4-LongTrain,280,0.005401203748644204,0.0011160802001737662,1.1593848555364545e-05,6.112270366921203e-05,0,0,0,0,0,0
Stage4-LongTrain,290,0.0014821024158516445,0.0007065353125358957,8.108317185385229e-06,7.4541692294981145e-06,0,0,0,0,0,0
Stage4-LongTrain,300,0.0033525001647806653,0.0008856188899182991,8.413922497876794e-06,3.288257527389293e-05,0,0,0,0,0,0
Stage4-LongTrain,310,0.0047188517228524025,0.0010447865761061374,1.3155062972785075e-05,5.424847385920411e-05,0,0,0,0,0,0
Stage4-LongTrain,320,0.00251486396253411,0.0007434140928593037,8.072545664912763e-06,2.193563515804173e-05,0,0,0,0,0,0
Stage4-LongTrain,330,0.003679676683040688,0.000858825448950803,8.623032856023102e-06,4.278048534713987e-05,0,0,0,0,0,0
Stage4-LongTrain,340,0.004462001203383143,0.0010771639975467445,1.1439607742185881e-05,4.6056756562737406e-05,0,0,0,0,0,0
Stage4-LongTrain,350,0.003335134717761665,0.0008016452208991993,8.288187079931566e-06,3.4171012405725354e-05,0,0,0,0,0,0
Stage4-LongTrain,360,0.0031246038317378306,0.0007931434020802781,1.0628961889951088e-05,3.3569848157541755e-05,0,0,0,0,0,0
Stage4-LongTrain,370,0.0029506691121118696,0.0009597619001225039,7.588728085711655e-06,2.702658614883124e-05,0,0,0,0,0,0
Stage4-LongTrain,380,0.00491940785149062,0.0011180236108122848,9.165175531568428e-06,4.729360903552702e-05,0,0,0,0,0,0
Stage4-LongTrain,390,0.0021076774904252708,0.0006283477870621593,7.587773128565263e-06,1.9269693857003823e-05,0,0,0,0,0,0
Stage4-LongTrain,400,0.005066450496481077,0.0011670837175679972,9.646480742270108e-06,5.694037206528781e-05,0,0,0,0,0,0
Stage4-LongTrain,410,0.0014702346241982603,0.0007120019306328047,6.2645938153248094e-06,8.42234477523881e-06,0,0,0,0,0,0
Stage4-LongTrain,420,0.001183806885524678,0.0005062356885409335,5.827160748594906e-06,6.850626351552893e-06,0,0,0,0,0,0
Stage4-LongTrain,430,0.003580210651774463,0.0011366524912945523,9.03306083175168e-06,3.4156986104691795e-05,0,0,0,0,0,0
Stage4-LongTrain,440,0.004019932393488046,0.0009070110249307913,8.62420341257569e-06,4.5978651615842934e-05,0,0,0,0,0,0
Stage4-LongTrain,450,0.0028920942615415597,0.0006336605796162543,6.94043429526524e-06,3.131902923160925e-05,0,0,0,0,0,0
Stage4-LongTrain,460,0.005016698659322149,0.0008864376546085083,9.311310417910431e-06,6.399102209330965e-05,0,0,0,0,0,0
Stage4-LongTrain,470,0.002296690067679093,0.0006201689310900465,6.297668899089724e-06,2.2399446416366608e-05,0,0,0,0,0,0
Stage4-LongTrain,480,0.002838801403806822,0.0006194360282058148,6.2551005403538754e-06,3.049284761210721e-05,0,0,0,0,0,0
Stage4-LongTrain,490,0.004446510319925241,0.0009737699143148053,1.0405504326627124e-05,4.188495315886669e-05,0,0,0,0,0,0
Stage4-LongTrain,500,0.00121277360862272,0.000479787407990394,5.513789838496942e-06,7.718238379852295e-06,0.012128264,0.074732944,0.0075336318,0.4737272312102784,1.6248760552736765,1.9973510360762006
Stage4-LongTrain,510,0.0012095194747293921,0.0004539140806898374,5.577570170095675e-06,8.911842087400146e-06,0,0,0,0,0,0
Stage4-LongTrain,520,0.00083311166098291,0.0003864761950083178,4.592707000483642e-06,4.2556922869300396e-06,0,0,0,0,0,0
Stage4-LongTrain,530,0.005937524215393775,0.0010147204518796422,1.2541916623524378e-05,7.437134312616813e-05,0,0,0,0,0,0
Stage4-LongTrain,540,0.0018557852473915428,0.0005617512309785328,6.041173307764709e-06,1.495545501637861e-05,0,0,0,0,0,0
Stage4-LongTrain,550,0.001985421934404184,0.001364966800964966,4.804240277096412e-06,4.9236301489710626e-06,0,0,0,0,0,0
Stage4-LongTrain,560,0.0012637870921124075,0.0004135315035897735,5.050314079248032e-06,9.134720271872908e-06,0,0,0,0,0,0
Stage4-LongTrain,570,0.002123796777497675,0.0008597948267502157,6.81365397237666e-06,1.687325873324487e-05,0,0,0,0,0,0
Stage4-LongTrain,580,0.0024029770394082407,0.0005702993036499498,8.189712567351259e-06,2.420424494335453e-05,0,0,0,0,0,0
Stage4-LongTrain,590,0.003047874502560778,0.001388341378785569,6.334269934037316e-06,1.993367161933723e-05,0,0,0,0,0,0
Stage4-LongTrain,600,0.001346893097286591,0.0003985995261590122,4.879725461373832e-06,1.1674925614184954e-05,0,0,0,0,0,0
Stage4-LongTrain,610,0.0006461067037103144,0.00033943188247723957,4.578043899527984e-06,2.5203677772559466e-06,0,0,0,0,0,0
Stage4-LongTrain,620,0.0028252171547580008,0.0006497332793219972,8.511010418186669e-06,3.0184357812588035e-05,0,0,0,0,0,0
Stage4-LongTrain,630,0.005081135131469047,0.0008373067036233339,8.734650150841304e-06,4.6012172419609304e-05,0,0,0,0,0,0
Stage4-LongTrain,640,0.001298319866150819,0.0005219419545028359,4.927081541560206e-06,1.0465914187620541e-05,0,0,0,0,0,0
Stage4-LongTrain,650,0.0010929880695216157,0.0004263353782605279,4.913855073519281e-06,7.093508441824737e-06,0,0,0,0,0,0
Stage4-LongTrain,660,0.0004931467096006649,0.0003018612167923837,4.057791618440722e-06,7.684217391639519e-07,0,0,0,0,0,0
Stage4-LongTrain,670,0.0011040032007479789,0.00043023324955405816,5.634507549591551e-06,7.994910705550668e-06,0,0,0,0,0,0
Stage4-LongTrain,680,0.0006426932515161163,0.0003256628752333691,4.1743680621702636e-06,2.5313393290911633e-06,0,0,0,0,0,0
Stage4-LongTrain,690,0.0006096091049068884,0.0003056639594630011,4.207393111436112e-06,2.5441011905206472e-06,0,0,0,0,0,0
Stage4-LongTrain,700,0.000998022490986497,0.00036775287023644795,4.311716148131873e-06,7.274164102921999e-06,0,0,0,0,0,0
Stage4-LongTrain,710,0.0010266050859983708,0.000369230006834039,4.800528807430277e-06,7.486105165003824e-06,0,0,0,0,0,0
